123 123 123 123 123 123 123 123 123 123 123
44 44 44 44 44 44 44 44 44 44 44
21 20 22 20 22 20 22 20 22 20 22
9 10 10 12 12 14 14 16 16 18 18
1 1 1 1 1 1 1 1 1 1 1
1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 1e-11 
3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 1.01686094e-12 
3.1415 3.1415 3.1415 3.1415 3.1415 3.1415 3.1415 3.1415 3.1415 3.1415 3.1415
20 20 20 20 20 20 20 20 20 20 20
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08 1e08
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 
5 5 5 5 5 5 5 5 5 5 5
10 10 10 10 10 10 10 10 10 10 10
15 15 15 15 15 15 15 15 15 15 15
20 20 20 20 20 20 20 20 20 20 20
25 25 25 25 25 25 25 25 25 25 25
30 30 30 30 30 30 30 30 30 30 30
35 35 35 35 35 35 35 35 35 35 35
40 40 40 40 40 40 40 40 40 40 40
45 45 45 45 45 45 45 45 45 45 45
55 55 55 55 55 55 55 55 55 55 55
66 66 66 66 66 66 66 66 66 66 66
70 70 70 70 70 70 70 70 70 70 70
75 75 75 75 75 75 75 75 75 75 75
81 81 81 81 81 81 81 81 81 81 81
90 90 90 90 90 90 90 90 90 90 90
96 96 96 96 96 96 96 96 96 96 96
100 100 100 100 100 100 100 100 100 100 100
105 105 105 105 105 105 105 105 105 105 105
116 116 116 116 116 116 116 116 116 116 116
120 120 120 120 120 120 120 120 120 120 120
